सधै साँचो बोल्नु पर्छ।	We should always speak the truth.
साँचो कहाँ छ?	Where is the key?
समान किन्दा कर लाग्छ।	Tax is applied to everything we buy.
यो काम गर्छु नि! कर लगाई राख्नु पर्दैन।	I will do it, okay! No need to keep insisting!
करले काम गर्छ।	The hand does the work.
कर कति लामो छ!	The elephant’s trunk is so long!
पत्र पढ्नुपर्छ।	You should read the newspaper.
रुखको पत्र हरियो छ।	The tree's leaf is green.
पानीको पत्र जमेको छ।	The water layer has frozen.
उनले हार माने।	He accepted defeat.
उनले सुनको हार किनिन्।	She bought a gold necklace.
पर्दा लगाउ।	Close the curtain.
यो पर्दा फाटेको छ।	This net is torn.
तार जोड्नुहोस्।	Connect the wire.
उनले खोला तारिन्।	She crossed the river.
बुवाले तार पठाउनुभयो।	Father sent a telegram.
तीजको दर खायौं।	We ate the special Teej meal.
तेलको दर बढ्यो।	The price of oil increased.
तीका निधारमा लगाऊ।	Apply the tika on the forehead.
आज दशैंको टीका छ।	Today is Dashain’s tika ceremony.
खोटो नोट नलिनुहोस्।	Do not take defective banknotes.
रुखबाट खोटो बगिरहेको छ।	Tree sap is dripping from the tree.
उनले अर्थ बुझिनन्।	She did not understand the meaning.
धन कमाउनु अर्थ मात्र होइन।	Earning money is not the only purpose.
सालको रुख बलियो हुन्छ।	The sal tree is strong.
ऊ १० सालको भयो।	He turned 10 years old.
खेलमा हात हाल्नुहोस्।	Participate in the game.
मेरो हात दुख्यो।	My hand hurts.
उनले राम्रो कल देखाए।	He showed great skill.
कल बन्द छ।	The water tap is closed.
पत्रिकामा नयाँ समाचार छ।	There is new news in the newspaper.
रुखका पत्र हरियो छन्।	The tree’s leaves are green.
उनले प्रेमपत्र लेखे।	He wrote a love letter.
सिंगो देशमा शोकको पत्र जारी भयो।	A mourning notice was issued for the whole country.
उनको हारदिक स्वागत गरियो।	He was warmly welcomed.
हाम्रो टिम हार भयो।	Our team lost.
उनको घाँटीमा सुनको हार थियो।	She had a gold necklace on her neck.
पर्दा नजिकै झुण्डिएको छ।	The curtain is hanging nearby.
ढोका बन्द गर्दा पर्दा पनि लगाउनु।	Close the door and also draw the curtain.
सिनेमाको पर्दा खुलेपछि रमाइलो लाग्यो।	It felt exciting after the movie screen opened.
सडकमा तार गाडिएको छ।	A wire has been installed on the road.
खेतमा बिउ छर्न तार जोतियो।	A furrow was plowed in the field for sowing seeds.
खोलामा तार टाँगेर पुल बनाइयो।	A bridge was made by suspending a wire across the river.
तेलको दर दैनिक बढ्दैछ।	The price of oil is increasing daily.
उनले सुनको दर सोधिन्।	She inquired about the gold price.
तीजमा मिठो दर खान पाइयो।	We got to eat delicious Teej food.
बाबुले दशैंको टीका लगाइदिनुभयो।	Father put the Dashain tika on us.
टीका निधारमा राम्रोसँग टाँसिएको थियो।	The tika was properly placed on the forehead.
टीका लगाउँदा मनमा उत्साह जाग्यो।	There was excitement in the heart while applying the tika.
उनले खोटो सिक्का फालिदिए।	He threw away the defective coin.
रुखको खोटो औषधिको रूपमा प्रयोग गरिन्छ।	The tree's sap is used as medicine.
अर्थ बुझ्न नसक्दा उनले गल्ती गरिन्।	She made a mistake due to not understanding the meaning.
अर्थोपार्जन मात्र मुख्य कुरा होइन।	Earning money is not the only important thing.
यो शब्दको तीनवटा अर्थ छन्।	This word has three meanings.
सालको काठ मजबुत हुन्छ।	Sal wood is strong.
मेरो भाई १२ सालको भयो।	My younger brother turned 12 years old.
उनले खेलमा ठूलो हात हाले।	He played a major role in the game.
मेरो हात दुखिरहेको छ।	My hand is hurting.
हामीले पानीको हात रोक्यौं।	We stopped the flow of water.
नयाँ खेलाडीले राम्रो कल देखायो।	The new player showed good technique.
गाउँमा नयाँ कल जडान गरिएको छ।	A new water tap has been installed in the village.
बाँसको घरमा बस्न रमाइलो हुन्छ।	Living in a bamboo house is enjoyable.
बाँसको गन्धले नाक बन्द भयो।	The smell clogged my nose.
उसले खेल खेल्यो।	He played a game.
खेल मैदानमा धेरै मानिसहरू थिए।	There were many people in the playground.
बुढो मानिसले कथा सुनाए।	The old man told a story.
मेरो बुढो आज काममा गयो।	My husband went to work today.
आँट गरेर उसले काम सुरु गर्यो।	With courage, he started the work.
उसको आँतमा समस्या छ।	He has a problem in his intestines.
आधी बाटोमा हामीले आराम गर्यौं।	We rested halfway along the road.
आँधी आएकोले रुख ढले।	The storm caused the tree to fall.
आदि कुराहरूमा ध्यान दिनुहोस्।	Pay attention to the initial matters.
पानीको पाइप फुट्यो।	Water pipe burst.
पाइपमा पानी हाल्नुहोस्।	Add water to the pipe.
पाइप फुट्यो।	The pipe burst.
उसको पाइपमा तातो पानी थियो।	There was hot water in his pipe.
त्यो साँचो कुरा हो।	That’s the true thing.
साँचो घुमाउनुहोस्।	Turn the key.
तिमीले साँचो कहाँ राख्यौ?	Where did you put the key?
साँचो ख्याल राख।	Be careful with the key.
उसको बाल कटा।	His hair was cut.
मेरो बाल लामो भएको छ।	My hair has grown long.
उहाँका बाल शान्त छन्।	Her children are calm.
मैले धेरै धन कमाएको छु।	I have earned a lot of money.
उसको घरमा धेरै धन छ।	He has a lot of wealth in his house.
मैले आज आम खाएँ।	I ate a mango today.
तिमीलाई आम कस्तो छ?	How is your mother?
कुल जम्मा पाँच जना मानिस उपस्थित छन्।	There are a total of five people present.
तिमीले मलाई कुल समाचार सुनाउनुभयो।	You gave me all the news.
तिमीलाई घण्टा कति बजेको छ?	What time is it?
बेलुका घण्टा पाँच बजे सँगै हिँड्नुहोस्।	Walk with me at five o'clock in the evening.
उसको घोडा निकै बलियो छ।	His horse is very strong.
त्यो घोडा उक्लन नसक्ने गरी भारी थियो।	The horse was too heavy to climb.
तिमीले माथि साँचो कुरा भन्यौ।	You spoke the truth above all.
तिमी माथि पनि बोल्न सक्छौ।	You can speak from above too.
सपना मेरो भविष्यको संकेत हो।	A dream is a sign of my future.
म तिमीलाई एउटा सपना दिन चाहन्छु।	I want to give you a vision.
म आफ्नो पढाइमा ध्यान दिन्छु।	I focus on my studies.
तिमीलाई यो कुरा पढ्न सजिलो हुन्छ।	It is easy for you to read this.
तारको जस्तो लगाउन उहिले भए।	He used to wear it like a thread.
तिमीले तार तिनै दिन्न सक्छौ।	You can thread it yourself.
उसको ध्यान राम्ररी राख्नु।	Pay good attention to him.
वहाँ ध्यान गर्न सक्दिन।	He cannot concentrate.
आधिको घण्टा फेरि आउँछ।	The first hour will come again.
तिमीलाई आधिको समय पनि चाहिँदैन।	You don’t even need half of the time.
उसको कार्यमा ऊर्जा र शक्ति थियो।	His work had energy and power.
उसको शक्ति बढाएको छ।	He has gained strength.
उसको गोडा राम्रो छ।	Her legs are fine.
तिमी गोडा साँचो राख्न सक्छौ।	You can keep your legs straight.
पानी पिउन पाउँछु भने मजा आउँछ।	It feels great if I can drink water.
उस्को पानी पिउन मन लागेको छैन।	He doesn’t feel like drinking water.
समय बर्बाद गर्नु हुँदैन।	Don’t waste time.
तिमीलाई समयका बारेमा थाहा छैन।	You don’t know about time.
तुलामा एक्काइसको तुला राख।	Place the weight of twenty-one on the scale.
हामी तुलामा त्यसको वजन चेक गर्नेछौं।	We will check its weight on the scale.
सपोर्ट गर्नुहोस्।	Support me.
त्यो खेललाई खेल्नका लागि सपोर्ट चाहिन्छ।	That game needs support to play.
अर्थ नै ठिक छ।	The meaning is correct.
तिमीले अर्थ बुझ्नुपर्छ।	You must understand the meaning.
पत्तो पाइन्छ भने, हामीलाई थाहा दिनु।	Let us know if you notice.
तिमीलाई पत्तो छैन कि?	Don’t you notice?
उसको प्रत्येक शब्दले सिद्ध भएको छ।	Every word of his is proven.
तिमी सिद्ध गर्न सक्दैनौं।	You cannot prove it.
उसको मन भनेको प्रेम हो।	Her heart is love.
मनमा दुख थियो।	There was sorrow in her heart.
तरिका सजिलो छैन।	The method is not easy.
उहाँको कामको तरिका राम्ररी जान्नुहोस्।	Know the method of his work well.
अलि बढी खाने छ।	I will eat a little more.
अलि समय छ।	There is a little time.
तपाईंको हात धेरै बलियो छ।	Your hand is very strong.
हात राखेर त्यसलाई पाउँछौं।	We will get it by hand.
पानीको घण्टा थियो।	It was an hour of rain.
पानी घण्टा पुगेपछि, मलाई भेट्न आउनु।	After the rain hour, come to meet me.
पर्दा लगाउ।	Close the curtain.
पर्दा लगाउ।	Wear the veil.
बाटो बन्द छ।	The road is closed.
बाटो भुल्नु हुँदैन।	Don’t forget the path.
उसले मलाई हेर्यो।	He looked at me.
उसले मलाई हेर्यो।	He ignored me.
मैले खाना खाएँ।	I ate food.
उसले खाना खायो।	He had a meal.
उनी अंग्रेजी बोल्छिन्।	She speaks English.
मलाई बोलाउनुहोस्।	Call me.
पानी पिउनुहोस्।	Drink water.
पानी पर्यो।	It rained.
उसको आँखा ठूलो छ।	His eyes are big.
आँखा बगिरहेको छ।	The spring is flowing.
उसलाई माया गर्छु।	I love him.
माया देखाउनुहोस्।	Show affection.
बत्ती बाल्नुहोस्।	Turn on the light.
बत्ती बाल्नुहोस्।	Light the candle.
कुरा गर्नुहोस्।	Let’s talk.
यो कुरा गम्भीर छ।	This matter is serious.
उनी घर जान्छिन्।	She is going home.
मलाई थाहा छैन।	I don’t know.
यहाँ बस्नुहोस्।	Sit here.
उनी काठमाडौंमा बस्छिन्।	She lives in Kathmandu.
यो फूल सुन्दर छ।	This flower is beautiful.
फूल फुल्यो।	The flower bloomed.
चिया पिउनुहोस्।	Drink tea.
चिया उड्यो।	The fly flew away.
आकाशमा बादल छ।	There are clouds in the sky.
बादल गर्नुहोस्।	Let’s argue.
उनी घर पुगे।	She reached home.
यो पुग्छ।	This is enough.
रस्सीले बाँध्नुहोस्।	Tie it with a rope.
बाँध बनाउनुहोस्।	Build the dam.
कार चलाउनुहोस्।	Drive the car.
यो चलाउनुहोस्।	Move this.
मैले बिर्सें।	I forgot.
उसले बिर्स्यो।	He lost it.
खाना बनाउनुहोस्।	Cook food.
उनी डाक्टर बन्न चाहन्छिन्।	She wants to become a doctor.
मैले पुस्तक पढें।	I read a book.
उसले पुस्तक पढ्यो।	He studied the book.
घरमा जानुहोस्।	Go home.
घरमा जानुहोस्।	Return home.
उसले गीत गायो।	He sang a song.
उसले गीत सुन्यो।	He listened to a song.
मैले काम गरेँ।	I worked.
उसले काम गर्यो।	He did the job.
खोला बगिरहेको छ।	The river is flowing.
खोला पार गर्नुहोस्।	Cross the river.
उसले मलाई मार्यो।	He hit me.
उसले मलाई मार्यो।	He killed me.
मैले पैसा दिएँ।	I gave money.
उसले पैसा लियो।	He took the money.
उनी स्कूल जान्छिन्।	She goes to school.
उनी स्कूल बनाउन चाहन्छिन्।	She wants to build a school.
मैले फल खाएँ।	I ate a fruit.
उसले फल तोक्यो।	He chose the fruit.
उसले ढोका खोल्यो।	He opened the door.
उसले ढोका बन्द गर्यो।	He closed the door.
मैले चिठी लेखें।	I wrote a letter.
उसले चिठी पढ्यो।	He read the letter.
उसले बाटो देखायो।	He showed the way.
उसले बाटो बनायो।	He built the road.
मैले रंग रंगें।	I colored.
उसले रंग चुने।	He chose the color.
उसले मलाई हाँस्यो।	He made me laugh.
उसले मलाई हाँस्यो।	He laughed at me.
मैले गीत लेखें।	I wrote a song.
उसले गीत गायो।	He sang the song.
उसले मलाई सम्झायो।	He reminded me.
उसले मलाई सम्झायो।	He consoled me.
मलाई क्रिकेट ब्याट मन पर्छ, तर एउटा चमेरोले मलाई टोक्यो।	I love cricket bats, but a bat bit me.
क्रिकेट खेल्न प्रयोग भएको ब्याट गुफामा उडेर गयो, जहाँ अर्को चमेरोले खेलाडीलाई टोकेको थियो।	The bat used to play cricket flew into the cave, where another bat bit the player.
वृक्षको छालो खरोंचिएको थियो, तर कुकुरको भुकाइले छिमेकलाई उठाउन पर्याप्त थियो।	The bark of the tree was rough, but the bark of the dog was loud enough to wake the entire neighborhood.
उसले सलाई लाइट गरेर हेर्न चाहन्थी कि उसका मोजाहरूको रंग मेल खान्छ, तर सलाई बाल्नुअघि नै बत्ति निभ्यो।	She lit a match to see if the colors of her socks would match, but the match burned out before she could tell.
संगीतकार गायकले अगाडि जान्ने निर्णय गरे, तर उसका हातमा रहेको लिड पाइपले उसलाई ढिलो बनायो।	The lead singer decided to lead the way, but the heavy lead pipe in his hand slowed him down.
उसको गालामा एक आँसु गयो जब उसले कागज चिन्न चाहन्थी, तर त्यो बलियो थियो।	A tear rolled down her cheek as she tried to tear the paper in half, but it was too strong.
हावा यति बलियो थियो कि घडी घुमाउन गाह्रो बन्यो, तर उसले आँधी बढ्नु अघि त्यसलाई गर्न सक्यो।	The wind was so strong that it made it hard to wind the clock, but she managed to do it before the storm got worse.
उनीहरूले विशाल झगडा गरे कि को नाव हाँक्नेछ, र त्यो बहस तालाब पार गर्दासम्म जारी रह्यो।	They had a huge row about who would row the boat, and the argument continued even as they crossed the lake.
उसले आफ्नो प्रदर्शन पछि बाउ लिनुभयो, तर उसको लुगामा बाँधिएको बाउ खुइल्यो।	She took a bow after her performance, but the bow on her dress came undone as she bent down.
मेला यति भीडभाड थियो कि सबैलाई सवारीमा चढ्नको लागि मौका मिल्ने आशा गर्नु अन्यायपूर्ण थियो।	The fair was so crowded that it wasn’t fair to expect everyone to get a turn on the rides.
म मञ्चमा देख्न सक्दिन, तर म जनावर नजिक जान्न सक्दिन।	I can’t bear to see the bear in the zoo looking so sad, but I know it’s too dangerous to get closer.
क्रिकेट खेल्नका लागि ब्याट आवश्यक थियो, तर गुफामा अर्को चमेरा देखा पर्यो।	The bat was needed for playing cricket, but another bat appeared in the cave.
उसले ब्याटको ह्यान्डललाई मजबूतीसँग समाते, र चमेराले खेलाडीलाई काट्यो।	She gripped the bat's handle firmly, and a bat bit the player.
राति जब म बाहिर गइरहेको थिए, चमेराले मेरो माथि उडेर गयो, तर मैले ब्याट देखिन।	As I was walking outside at night, a bat flew over my head, but I didn't see the bat.
ब्याटलाई बलको साथ हान्दा चमेरा गुफाबाट बाहिर उड्यो।	When the bat was hit with the ball, a bat flew out of the cave.
मैले ब्याटको पर्खालमा बल हान्दै गर्दा, चमेरा माथि उड्यो।	I was hitting the ball against the bat's wall when a bat flew overhead.
ब्याटको वजन थोरै भारी थियो, र चमेरा आफ्नो झिलिमिली पंख फड्काउँदै उड्यो।	The bat was a bit heavy, and the bat flapped its shiny wings and flew away.
गुफामा बसेको चमेरा मेरो पछाडि उड्यो, र मैले ब्याटलाई बालमा हान्न प्रयोग गरे।	A bat flew behind me in the cave, and I used the bat to hit the ball.
क्रिकेटको खेलमा ब्याटको प्रयोग गर्दा, चमेरा गुफामा बसेको थियो।	While using the bat in the cricket game, the bat was resting in the cave.
चमेरा आकाशमा उडेको बेला, क्रिकेटको ब्याटलाई बलले हान्दा आवाज सुनियो।	As the bat flew in the sky, the sound of the ball hitting the cricket bat echoed.
ब्याटको घेरामा बल हान्ने क्रममा, चमेरा गुफामा बाल हान्न अभ्यास गरिरहेको थियो।	During the bat's swing, the bat was practicing hitting balls in the cave.
मैले गुफाबाट उड्ने चमेरालाई ध्यान दिए, र ब्याटको बल हान्न जारी राखें।	I watched the bat flying out of the cave and kept hitting the ball with the bat.
ब्याटको बललाई आकाशमा हान्दा, चमेरा अवलोकन गर्दै थियो।	While hitting the ball with the bat into the sky, the bat was observing.
क्रिकेट खेल्दा ब्याटको राम्रो प्रयोग भयो, र चमेरा गुफामा विश्राम गर्दै थियो।	The bat was used well in the cricket game, and a bat was resting in the cave.
चमेरा झपकिदै, ब्याटको बाहिर हान्नको लागि तयारी गर्दै थियो।	As the bat drowsed, it was preparing to hit outside with the bat.
गुफामा राखिएको ब्याट चमेराले कागजको जस्तै काट्यो।	The bat placed in the cave was cut by the bat like paper.
ब्याटमा बल हान्न, चमेरा आकाशमा विचरण गर्दै थियो।	As the bat hit the ball, the bat was roaming in the sky.
मैले गुफामा देखा परेको चमेरालाई देख्दा, ब्याट बलको साथ बल हान्नमा व्यस्त थिएँ।	As I saw the bat appear in the cave, I was busy hitting the ball with the bat.
क्रिकेटको ब्याटबाट बल हान्न, चमेरा गुफाबाट बाहिर निस्कियो।	With the cricket bat, the bat hit the ball, and the bat flew out of the cave.
चमेरा गुफामा विश्राम गर्दै थियो, र मैले ब्याटको प्रयोग गरेर बल हाने।	The bat was resting in the cave, and I hit the ball using the bat.
ब्याटको बल गुफामा फर्केर गयो, र चमेरा फेरि देखिएको थियो।	The bat's ball went back into the cave, and the bat appeared again.
