बारमा तेस्रो पटक भेट भएपछि उसले मलाई आफ्नो घर बिशालनगरमा निम्त्यायो।	After our third meeting in the bar, he invited me to his home in Vishainagar.
उसको घर शिरीषका रूखहरूले घेरेको क्याम्पभित्र रहेछ।	His house was in a compound encircled by mimosa trees.
हामी त्यहाँ पुग्दा मध्याह्न भएको थियो र ठीक त्यही याम अहिले यी रूखहरूले आफूलाई नीलै बनाएर फुलाउँदछन्‌ ।	It was noon when we arrived, just at the season when the trees blossomed with blue flowers.
घरको दायाँपट्टि ग्यारेजजस्तोमा एउटा पुरानो मोडेलको निजी मोटर राखिएको थियो ।	To the right of the house was a sort of garage in which an old car was kept. 
अलिक पर धेरै पञ्चरङ्की फूलहरू बगल लगाएर फुलाइएका, बीचमा एक चोक्टा हरियो चौर नीला शिरीषका फूलहरूले झन्डै छोपिएको।	A little farther, rows of multicolored flowers were planted, and in the middle was a patch of green lawn, almost covered with blue mimosa flowers.
ठीक त्यसै बीचमा मैले एउटी स्वास्नीमान्छे देखें छब्बीस वर्षकी।	Right there, I saw a woman, around twenty-six years old.
मेरो साथीले थाहा नपाउँदै मैले उसको रूपरङ्ग, लुगा लगाइ, उँचाइ, मोटाइ, हेराइ, हिँडाइ सबै पत्तो लगाएँ।	Without my friend noticing, I observed her appearance, clothes, height, weight, expression, and the way she walked.
सेतो सारी, सेतो ठुटे चौलो, लामो खुला केश, नराम्री भन्न नसकिने थिई।	She was wearing a white sari and sleeveless white blouse, with long, loose hair. She wasnot someone you could call unattractive.
उसले हामीलाई हेरी, त्यही निधार खुम्च्याएर, त्यसपछि उत्सुकता नदेखाएरै इनारतिर लागी।	She glanced at us, furrowing her brow, and then, without showing any curiosity, walked toward the well.
म पनि उत्सुकता वश हेरिरहने मान्छे होइनँ। ममा केही विशेषता छैन।	I am not the type of person to arouse curiosity. Thereis nothing special about me.
मेरो साथी भन्दै गइरहेको थियो, "घर त अनकन्टारमा छ, तर असुविस्ता केही छैन हो।"	My friend continued, "The house is isolated, but it's not inconvenient at all."
